,Song,Slide1,Slide2,Slide3,Slide4,Slide5,Slide6,Slide7,Slide8,Slide9,Slide10,Slide11,Slide12,Slide13,Slide14,Slide15,Slide16,Slide17,Slide18,Slide19,Slide20
0,10000 Reasons,"Bless the Lord
Oh my soul, oh my soul
Worship his holy name
Sing like never before
Oh my soul
I’ll worship your holy name","The sun comes up, it’s a new day dawning
It’s time to sing your song again
Whatever may pass and whatever lies before me
Let me be singing when the evening comes","Bless the Lord
Oh my soul, oh my soul
Worship his holy name
Sing like never before
Oh my soul
I’ll worship your holy name","You’re rich in love
And you’re slow to anger
Your name is great
And your heart is kind
For all your goodness
I will keep on singing
10,000 Reasons for my heart to find","Bless the Lord
Oh my soul, oh my soul
Worship his holy name
Sing like never before
Oh my soul
I’ll worship your holy name","And on that day when my strength is failing
The end draws near and my time has come
Still my soul will sing your praise unending
10,000 Years and then forever more","Bless the Lord
Oh my soul, oh my soul
Worship his holy name
Sing like never before
Oh my soul
I’ll worship your holy name",,,,,,,,,,,,,
1,Abba Father,"Abba Father, let me be, 
Yours and Yours alone
May my will forever be, 
Evermore Your own.","Never let my heart grow cold, 
Never let me go.
Abba Father let me be, 
Yours and Yours alone",,,,,,,,,,,,,,,,,,
2,Above All,"Above all powers, above all kings
Above all nature and all created things
Above all wisdom and all the ways of man
You were here before the world began","Above all kingdoms, above all thrones
Above all wonders the world has ever known
Above all wealth and treasures of the earth
There’s no way to measure what you’re worth","Crucified, laid behind a stone
You lived to die
Rejected and alone","Like a rose, trampled on the ground
You took the fall
And thought of me
Above all",,,,,,,,,,,,,,,,
3,All the People Said Amen,"You are not alone, if you are lonely
When you feeling frail, you're not the only","We are all the same 
In need of mercy 
To be forgiven and be free
It's all you got to lean on but Thank God it's all you need","And all the people said Amen
And all the people said Amen
Give thanks to the Lord for his love never ends
And all the people said Amen","If you’re rich or poor, well it don't matter
Weak or strong, we know love is what we're after","We're all broken but we're all in this together
God knows we stumble and fall
And he so loved the world he sent his Son to save us all","And all the people said Amen
And all the people said Amen
Give thanks to the Lord for his love never ends
And all the people said Amen","Blessed are the poor in spirit Who are torn apart
Blessed are the prosecuted and the pure in heart","Blessed are the people longing for another start
For this is the Kingdom
The Kingdom of God","And all the people said Amen
And all the people said Amen
Give thanks to the Lord for his love never ends
And all the people said Amen",,,,,,,,,,,
4,Amazing Grace,"Amazing grace 
How sweet the sound
That saved a wretch like me
I once was lost, 
But now I'm found
Was blind but now I see","Twas grace that 
Taught my heart to fear
And grace my fears relieved
How precious did 
That grace appear
The hour I first believed","Through many dangers, 
Toils, and snares
I have already come
This grace that brought 
Me safe thus far
And grace will lead me home","When we've been here 
Ten thousand years
Bright, shining as the sun
We've no less days to 
Sing God's praise
Than when we first begun","Amazing grace 
How sweet the sound
That saved a wretch like me
I once was lost, 
But now I'm found
Was blind but now I see",,,,,,,,,,,,,,,
5,Amen,"Woa-o-oh-woah Woa-o-oh-woah
Put your hands together shout for the King
Woa-o-oh-woah Woa-o-oh-woah
Everybody’s singing Jesus’ name
Amen","Amen, Amen, Amen, Amen, 
Its the time now to give him all the best
I can tell you’ll love it all the Way","You can bring that search to an end now
Put your feet upon the rock of ages","Everybody’s got a time and a place now
And I guess its gonna be right here
For the blessings gonna fall on us
What a great day yeah","Woa-o-oh-woah Woa-o-oh-woah
Put your hands together shout for the King
Woa-o-oh-woah Woa-o-oh-woah
Everybody’s singing Jesus’ name
Amen","Its so good just to give him all
Cause he can fill the void inside
He’s my friend my buddy on the road
Every time and everywhere","Man you gotta just build on the rock
You can see its gonna stay right on
You can always be that chilled out guy
Come anything you’ll say","Woa-o-oh-woah Woa-o-oh-woah
Put your hands together shout for the King
Woa-o-oh-woah Woa-o-oh-woah
Everybody’s singing Jesus’ name
Amen","Even if you are lost in the sea now
You know he’s the Son of God
He’s the one who can save you forever
Bring you back to the shores of life","Nothing ever can separate me now
No one ever can take me away now
Cause you’re the truth the eternal life
Make a joyful noise unto the skies","Woa-o-oh-woah Woa-o-oh-woah
Put your hands together shout for the King
Woa-o-oh-woah Woa-o-oh-woah
Everybody’s singing Jesus’ name
Amen",,,,,,,,,
6,As the Deer,"As the deer panteth 
for the water
So my soul longeth after Thee
You alone are my heart's desire
And I long to worship Thee","You alone are my strength, 
my shield
To You alone may my spirit yield
You alone are my heart's desire
And I long to worship Thee","You're my friend
And You are my brother
Even though You are a King
I love You more than any other
So much more than anything","You alone are my strength, 
my shield
To You alone may my spirit yield
You alone are my heart's desire
And I long to worship Thee",,,,,,,,,,,,,,,,
7,Ave Maria,"As I kneel before you
As I bow my head in prayer
Take this day, make it yours
And fill me with your love","Ave Maria
Gratia Plena
Dominus Tecum
Benedicta Tu","All I have I give you
Every dream and wish are yours
Mother of Christ
Mother of mine, present them to the Lord",,,,,,,,,,,,,,,,,
8,Awesome God,"When he rolls up his sleevesHe ain’t puttin on the Ritz
Our God is an Awesome God
There is thunder in his footsteps
And lightning in his fist
Our God is an Awesome God","Well the lord wasn’t joking when he kicked em out of Eden
It wasn’t for no reason He shed his blood
His return is very close and so you better be beliving
That our God is an Awesome God","Our God is an Awesome God
He reigns from Heaven above
With wisdom, power and love
Our God is an Awesome God","When the sky was starless in the void of the night
Our God is an Awesome God
He spoke to the darkness and created the light
Our God is an Awesome God","Judgement and wrath he poured out of Sodom
Mercy and grace He gave us at the cross
I hope that we have not too quickly forgotten that
Our God is an Awesome God","Our God is an Awesome God
He reigns from heaven above
With wisdom, power and love
Our God is an Awesome God",,,,,,,,,,,,,,
9,Bayette Inkosi,"Bayete, Bayete Inkosi
Bayete, King of kings
Bayete, Bayete Inkosi
Bayete Inkosi King
King of kings","Who can match your greatness
Who can know your power
Who can search your riches
Who can deny you are crownedLord of all?","Bayete, Bayete Inkosi
Bayete, King of kings
Bayete, Bayete Inkosi
Bayete Inkosi King
King of kings","You are crowned King of Australia
You are crowned Lord of all
You are crowned King of Australia
Who can deny You are crownedLord of all?","Bayete, Bayete Inkosi
Bayete, King of kings
Bayete, Bayete Inkosi
Bayete Inkosi King
King of kings",,,,,,,,,,,,,,,
10,Best Friends - Studio,"I don't want to be on my phone
But I can't be alone
Welcome to the modern way
I'm trying to be somebody 
I'm not but it's not what I want
And tell me there's another way","All of the lights I chased 
Are now faded
All the cheap thrills 
Were only time wasted
Tell me why society's plan 
Should define who I am
Surely there's a higher way","All of my best friends 
Are sick of pretending
We want the truth
(Na-na, na-na)","So much is missing
So give us the real thing
I know it's You
(Na-na, na-na, na)","I don't want a stereotype 
To decide who I am
It never knew me anyway
I'm over trying to find the next
Hype 'cause the high never lasts
Imma go another way","All of the lights I chased 
Are now faded
Dylan was right, the times 
They are changing
Tell me why society's plan 
Should define who I am
Surely there's a higher way","All of my best friends 
Are sick of pretending
We want the truth
(Na-na, na-na)","So much is missing
So give us the real thing
I know it's You
(Na-na, na-na, na)",,,,,,,,,,,,
11,"Bless the Lord, My Soul","Bless the Lord, my soul
And bless God's holy name
Bless the Lord, my soul
Who leads me into life",,,,,,,,,,,,,,,,,,,
12,Blessed Are You Lord,"Blest are you, Lord,
God of all creation
Thanks to your goodness 
This bread we offer
Fruit of the earth
Work of our hands,
It will become the bread of life.","Blessed be God! 
Blessed be God!
Blessed be God forever! 
Amen!","Blest are you, Lord 
God of all creation
Thanks to your goodness 
This wine we offer
Fruit of the earth, 
Work of our hands,
It will become the cup of life.","Blessed be God! 
Blessed be God!
Blessed be God forever! 
Amen!",,,,,,,,,,,,,,,,
13,Blessed be Your Name,"Blessed Be Your Name
In the land that is plentiful 
Where Your streams of abundance flow
Blessed be Your name","Blessed Be Your name
When I'm found in the desert place
Though I walk through the wilderness
Blessed Be Your name","Every blessing You pour out 
I’ll, turn back to praise
When the darkness closes in Lord
Still I will say","Blessed be the name of the Lord
Blessed be Your name
Blessed be the name of the Lord
Blessed be Your glorious name","Blessed be Your name
When the sun's shining down on me
When the world's all as it should be
Blessed be Your name","Blessed be Your name
On the road marked with suffering 
Though there's pain in the offering 
Blessed be Your name","Every blessing You pour out 
I’ll, turn back to praise
When the darkness closes in Lord
Still I will say","Blessed be the name of the Lord
Blessed be Your name
Blessed be the name of the Lord
Blessed be Your glorious name","You give and take away
You give and take away
My heart will choose to say
Lord, blessed be Your name","Blessed be the name of the Lord
Blessed be Your name
Blessed be the name of the Lord
Blessed be Your glorious name",,,,,,,,,,
14,Blind Man,"Blind man sat by the road and he cried, 
Blind man sat by the road and he cried,
Blind man sat by the road and he cried,
He cried Oh, oh, oh","Show me the truth, Show me the life, Show me the way
The way to go home
Baby ah-ah-ah-ah-ah","Cripple man sat by the road and he cried, 
Cripple man sat by the road and he cried,
Cripple man sat by the road and he cried,
He cried Oh, oh, oh","Show me the truth, Show me the life, Show me the way
The way to go home
Baby ah-ah-ah-ah-ah","Jesus sat by the road and he cried, 
Jesus sat by the road and he cried,
Jesus sat by the road and he cried,
He cried Oh, oh, oh","I am the truth, I am the life, I am the way
The way to go home
Baby ah-ah-ah-ah-ah
JESUS",,,,,,,,,,,,,,
15,"Blinded By Your Grace 
Pt. 2","I'm Blinded By Your Grace
I'm Blinded By Your Grace, 
By your grace
I'm Blinded By Your Grace
I'm Blinded By Your","Lord I've been broken
Although I'm not worthy
You fixed me
I'm Blinded By Your Grace
You came and saved me","One time for the Lord
And one time for the cause
And one round of applause
One time for Fraser T Smith 
On the chords","I think we got one
I stay prayed up then 
I get the job done
Yeah, I'm Abigail's yout, 
But I'm God's son
But I'm up now
Look at what God's done","Now I real talk, look at what God did
On the main stage 
Running round topless
I phone Flipz then I tell him 
That we got this
This is God's plan
They can never stop this","Like, wait right there
Could you stop my verse?
You saved this kid 
And I'm not your first
It's not by blood 
And it's not by birth
But oh my God, what a God I serve","Lord I've been broken
Although I'm not worthy
You fixed me
I'm Blinded By Your Grace
You came and saved me","I said a prayer this morning
I prayed I would find a way
To another day, I was so afraid
Till you came and saved
You came and saved me","And the rain was pouring
Cause the sun faded away
Now I'm in a better place
No longer afraid
Blinded By Your Grace
You came and saved me, yeah","Lord I've been broken
Although I'm not worthy
You fixed me
I'm Blinded By Your Grace
You came and saved me",,,,,,,,,,
16,Break Every Chain,"There is power in the name of Jesus (x3)
To break every chain, 
break every chain, 
break every chain (x2)","All sufficient sacrifice
So freely given
Such a price
Bought our redemption
Heaven's gates swing wide","There is power in the name of Jesus (x3)
To break every chain, 
break every chain, 
break every chain (x2)","There’s an army rising up (x3)
To break every chain, 
break every chain, 
break every chain (repeat)",,,,,,,,,,,,,,,,
17,Broken Vessels,"All these pieces
Broken and scattered
In mercy gathered
Mended and whole","Empty handed
But not forsaken
I've been set free
I've been set free","Amazing grace
How sweet the sound
That saved a wretch like me
I once was lost
But now I'm found
Was blind but now I see","Oh I can see you now
Oh I can see the love in Your eyes
Laying yourself down
Raising up the broken to life","You take our failure
You take our weakness
You set Your treasure
In jars of clay","So take this heart, Lord
I'll be Your vessel
The world to see
Your life in me","Amazing grace
How sweet the sound
That saved a wretch like me
I once was lost
But now I'm found
Was blind but now I see","Oh I can see you now
Oh I can see the love in Your eyes
Laying yourself down
Raising up the broken to life",,,,,,,,,,,,
18,Burning in my Soul,"There is power, power
Here in this hour, this hour
We're all together, together
Waiting here as one","Whoa-oa-oah
Hear the sound from Heaven
Whoa-oa-oah
A mighty rushing wind","Whoa-oa-oah
We're calling for revival
God let Your fire fall again
It's burning in my sou-o-ol
Burning in my sou-o-ol","All your sons and your daughters
Dreaming the dreams of their father
Seeing the signs and the wonders
The Kingdom of God","Whoa-oa-oah
Hear the sound from Heaven
Whoa-oa-oah
A mighty rushing wind","Whoa-oa-oah
We're calling for revival
God let Your fire fall again
It's burning in my sou-o-ol
Burning in my sou-o-ol","I cannot contain it this fire inside
I cannot contain it so let it shine
I cannot contain it this light of mine","It’s Burning in my so-o-oul
Hear the sound from Heaven
Whoa-oa-oah
A mighty rushing wind","Whoa-oa-oah
We're calling for revival
God let Your fire fall again
It's burning in my sou-o-ol
Burning in my sou-o-ol","There is power, power
Here in this hour, this hour
We're all together, together
Waiting here as one",,,,,,,,,,
19,Christ is Risen,"Let no one caught in sin remain
Inside the lie of inward shame
We fix our eyes upon the cross","And run to him 
Who showed great love
And bled for us
Freely you bled 
For us","Christ is risen from the dead
Trampling over death by death
Come awake, come awake!
Come and rise up from the grave!","Christ is risen from the dead
We are one with him again
Come awake, come awake!
Come and rise up from the grave!","Beneath the weight of all our sin
You bow to none but heavens will
No scheme of hell
No scoffer's crown","No burden great can hold you down
In strength you reign
Forever let your church proclaim","Christ is risen from the dead
Trampling over death by death
Come awake, come awake!
Come and rise up from the grave!","Christ is risen from the dead
We are one with him again
Come awake, come awake!
Come and rise up from the grave!","Oh death! Where is your sting?
Oh hell! Where is your victory?
Oh Church! 
Come stand in the light!
The glory of God has 
Defeated the night!","Oh death! Where is your sting?
Oh hell! Where is your victory?
Oh Church! 
Come stand in the light!
Our God is not dead
He's alive! he's alive!","Christ is risen from the dead
Trampling over death by death
Come awake, come awake!
Come and rise up from the grave!","Christ is risen from the dead
We are one with him again
Come awake, come awake!
Come and rise up from the grave!",,,,,,,,
20,Christyle,"Fleeting world of Fantasy
Escape Routes from Reality
Misquoted love and Charity
Have we faltered","We fit in and occupy
Designer rules and alibis
What does all this signify
We've all Faltered","Christyle, It's the new style
Sorta freestyle, bruh that’s 
thug life, Hi five
Not a pro - just so your know
I'm not a holy joe, 
But against the flow, I will go","Obligatory Profanity
Our God sized Celebrities
Everything is vanity
Break away my friend",,,,,,,,,,,,,,,,
21,Come Now is the Time,"Come, now is the time to worship
Come, now is the time to give your heart
Come, just as you are to worship
Come, just as you are before your God
Come","One day every tongue will confess You are God
One day every knee will bow
Still the greatest treasure remains for those
Who gladly choose you now","Willingly we choose to surrender our lives
Willingly our knees will bow
With all our hearts, oh, mind and strength
We gladly choose you now",,,,,,,,,,,,,,,,,
22,Eagles Wings,"Here I am waiting
Abide in me I pray
Here I am longing
For You","Hide me in Your love
Bring me to my knees
May I know Jesus
More and more","Come live in me
All my life
Take over
Come breathe in me
And I will rise
On eagle's wings",,,,,,,,,,,,,,,,,
23,El Shaddai,"El-Shaddai, El-Shaddai
El-Elyon na Adonai
Age to age 
You're still the same
By the power of the name","El-Shaddai, El-Shaddai
Erkamka na Adonai
We will praise 
And lift You high
El-Shaddai","Through Your love
And through the ram
You saved the son
Of Abraham
Through the power","Of Your hand
Turned the sea
Into dry land
To the outcast
On her knees","You were the God
Who really sees
And by Your might
You set Your children free","El-Shaddai, El-Shaddai
El-Elyon na Adonai
Age to age 
You're still the same
By the power of the name","El-Shaddai, El-Shaddai
Erkamka na Adonai
We will praise 
And lift You high
El-Shaddai","Through the years
You made it clear
That the time of Christ
Was near
Though the people","Couldn't see
What Messiah ought to be
Though Your Word
Contained the plan","They just could not understand
Your most awesome 
Work was done
Through the frailty of Your son","El-Shaddai, El-Shaddai
El-Elyon na Adonai
Age to age 
You're still the same
By the power of the name","El-Shaddai, El-Shaddai
Erkamka na Adonai
We will praise 
And lift You high
El-Shaddai",,,,,,,,
